numbers,valid,location
6354748673,False,Etc/Unknown
4896903885,False,Etc/Unknown
2134160509,True,America/Los_Angeles
3659414841,True,America/Toronto
6734178767,False,Etc/Unknown
5714184208,True,America/New_York
8592008501,True,America/New_York
4078091995,True,America/New_York
5882661298,True,America/Adak
4904566588,False,Etc/Unknown
6769889210,False,Etc/Unknown
8625591985,True,America/New_York
3513182421,True,America/New_York
4417121593,True,America/Adak
9252945726,True,America/Los_Angeles
2377678148,False,Etc/Unknown
8677411672,True,America/Fort_Nelson
6357644907,False,Etc/Unknown
9788779459,True,America/New_York
5583343713,False,Etc/Unknown
4562644414,False,Etc/Unknown
6777949197,False,Etc/Unknown
3398801728,True,America/New_York
5085356850,True,America/New_York
3619841710,True,America/Chicago
3378185394,True,America/Chicago
2362946387,True,America/Vancouver
4869469416,False,Etc/Unknown
9753613375,False,Etc/Unknown
8706770276,True,America/Chicago
2895349513,True,America/Toronto
9002932619,True,America/Adak
6054059849,True,America/Denver
8657650729,True,America/New_York
6327529648,False,Etc/Unknown
7602778351,True,America/Los_Angeles
4818614017,False,Etc/Unknown
9175576214,True,America/New_York
4388138116,True,America/Toronto
9754557357,False,Etc/Unknown
5125779599,True,America/Chicago
3128266096,True,America/Chicago
3485133442,False,Etc/Unknown
8473497664,True,America/Chicago
3369425381,True,America/New_York
7866869876,True,America/New_York
8785112639,True,America/New_York
2814623697,True,America/Chicago
7005384157,False,Etc/Unknown
8652586684,True,America/New_York
6406415319,True,America/Adak
7743423610,True,America/New_York
6419733307,True,America/Chicago
2415138314,False,Etc/Unknown
5795412827,True,America/Toronto
3369094729,True,America/New_York
6532073670,False,Etc/Unknown
2114401607,False,Etc/Unknown
4049507067,True,America/New_York
8933909234,False,Etc/Unknown
5493605276,False,Etc/Unknown
7695816584,True,America/Chicago
2089130246,True,America/Boise
2978199799,False,Etc/Unknown
2454245725,False,Etc/Unknown
7243586437,True,America/New_York
4559630484,False,Etc/Unknown
6889984909,False,Etc/Unknown
3194623939,True,America/Chicago
5269213983,False,Etc/Unknown
7602894838,True,America/Los_Angeles
6313163837,True,America/New_York
8669180583,True,America/Adak
3685807050,False,Etc/Unknown
8852825893,False,Etc/Unknown
2586555840,False,Etc/Unknown
4329085045,True,America/Chicago
9629674965,False,Etc/Unknown
6774442216,False,Etc/Unknown
6395865917,True,America/Winnipeg
8299580516,True,America/Adak
7182786631,True,America/New_York
9195704504,True,America/New_York
9662377108,False,Etc/Unknown
3542728766,False,Etc/Unknown
5472420117,False,Etc/Unknown
7078998708,True,America/Los_Angeles
6299247609,True,America/Chicago
5576800182,False,Etc/Unknown
3559690289,False,Etc/Unknown
3548878757,False,Etc/Unknown
5827177598,False,Etc/Unknown
6442834621,False,Etc/Unknown
2607673006,True,America/New_York
6819575006,True,America/New_York
7823128469,True,America/Halifax
5436477136,False,Etc/Unknown
3578931479,False,Etc/Unknown
8043520937,True,America/New_York
3514136263,True,America/New_York
